county,date,other,delta,omicron,epsilon,alpha,gamma,iota,beta,zeta,mu
Alameda,2022-02-26,0,0,18,0,0,0,0,0,0,0
Alameda,2022-02-27,0,0,9,0,0,0,0,0,0,0
Alameda,2022-02-28,2,0,15,0,0,0,0,0,0,0
Alameda,2022-03-01,2,0,31,0,0,0,0,0,0,0
Alameda,2022-03-02,1,0,11,0,0,0,0,0,0,0
Alameda,2022-03-03,3,0,21,0,0,0,0,0,0,0
Alameda,2022-03-04,4,0,23,0,0,0,0,0,0,0
Alameda,2022-03-05,0,0,12,0,0,0,0,0,0,0
Alameda,2022-03-06,0,0,6,0,0,0,0,0,0,0
Alameda,2022-03-07,4,0,24,0,0,0,0,0,0,0
Alameda,2022-03-08,4,0,25,0,0,0,0,0,0,0
Alameda,2022-03-09,1,0,40,0,0,0,0,0,0,0
Alameda,2022-03-10,1,0,14,0,0,0,0,0,0,0
Alameda,2022-03-11,0,0,17,0,0,0,0,0,0,0
Alameda,2022-03-12,1,0,10,0,0,0,0,0,0,0
Alameda,2022-03-13,0,0,7,0,0,0,0,0,0,0
Alameda,2022-03-14,3,0,9,0,0,0,0,0,0,0
Alameda,2022-03-15,0,0,4,0,0,0,0,0,0,0
Alameda,2022-03-16,3,0,17,0,0,0,0,0,0,0
Alameda,2022-03-17,0,0,9,0,0,0,0,0,0,0
Alameda,2022-03-18,3,0,7,0,0,0,0,0,0,0
Alameda,2022-03-19,1,0,7,0,0,0,0,0,0,0
Alameda,2022-03-20,3,0,12,0,0,0,0,0,0,0
Alameda,2022-03-21,3,0,20,0,0,0,0,0,0,0
Alameda,2022-03-22,0,0,29,0,0,0,0,0,0,0
Alameda,2022-03-23,0,0,5,0,0,0,0,0,0,0
Alameda,2022-03-24,2,0,11,0,0,0,0,0,0,0
Alameda,2022-03-25,0,0,4,0,0,0,0,0,0,0
Alameda,2022-03-26,0,0,6,0,0,0,0,0,0,0
Alameda,2022-03-27,0,0,7,0,0,0,0,0,0,0
Alameda,2022-03-28,1,0,11,0,0,0,0,0,0,0
Alameda,2022-03-29,0,0,6,0,0,0,0,0,0,0
Alameda,2022-03-30,1,0,8,0,0,0,0,0,0,0
Alameda,2022-03-31,1,0,12,0,0,0,0,0,0,0
Alameda,2022-04-01,0,0,14,0,0,0,0,0,0,0
Alameda,2022-04-02,0,0,10,0,0,0,0,0,0,0
Alameda,2022-04-03,0,0,11,0,0,0,0,0,0,0
Alameda,2022-04-04,0,0,15,0,0,0,0,0,0,0
Alameda,2022-04-05,0,0,9,0,0,0,0,0,0,0
Alameda,2022-04-06,0,0,7,0,0,0,0,0,0,0
Alameda,2022-04-07,1,0,15,0,0,0,0,0,0,0
Alameda,2022-04-08,0,0,6,0,0,0,0,0,0,0
Alameda,2022-04-09,0,0,9,0,0,0,0,0,0,0
Alameda,2022-04-10,1,0,15,0,0,0,0,0,0,0
Alameda,2022-04-11,1,0,14,0,0,0,0,0,0,0
Alameda,2022-04-12,2,0,7,0,0,0,0,0,0,0
Alameda,2022-04-13,0,0,1,0,0,0,0,0,0,0
Alameda,2022-04-14,2,0,13,0,0,0,0,0,0,0
Alameda,2022-04-17,1,0,0,0,0,0,0,0,0,0
Alameda,2022-04-19,0,0,1,0,0,0,0,0,0,0
Alameda,2022-04-20,0,0,1,0,0,0,0,0,0,0
Alameda,2022-04-22,0,0,1,0,0,0,0,0,0,0
Alpine,2022-03-21,0,0,1,0,0,0,0,0,0,0
Amador,2021-12-01,0,9,0,0,0,0,0,0,0,0
Amador,2021-12-04,0,3,0,0,0,0,0,0,0,0
Amador,2021-12-06,0,1,0,0,0,0,0,0,0,0
Amador,2021-12-07,0,1,0,0,0,0,0,0,0,0
Amador,2021-12-11,0,7,0,0,0,0,0,0,0,0
Amador,2021-12-13,0,4,0,0,0,0,0,0,0,0
Amador,2021-12-14,0,2,0,0,0,0,0,0,0,0
Amador,2021-12-20,0,1,0,0,0,0,0,0,0,0
Amador,2021-12-21,0,1,1,0,0,0,0,0,0,0
Amador,2021-12-22,0,1,0,0,0,0,0,0,0,0
Amador,2021-12-27,1,0,0,0,0,0,0,0,0,0
Amador,2021-12-29,1,0,0,0,0,0,0,0,0,0
Amador,2021-12-30,0,0,1,0,0,0,0,0,0,0
Amador,2021-12-31,0,0,0,0,1,0,0,0,0,0
Amador,2022-01-07,0,0,1,0,0,0,0,0,0,0
Amador,2022-01-12,0,1,1,0,0,0,0,0,0,0
Amador,2022-01-15,0,1,0,0,0,0,0,0,0,0
Amador,2022-01-17,1,0,0,0,0,0,0,0,0,0
Amador,2022-01-19,0,0,0,1,0,0,0,0,0,0
Amador,2022-01-20,0,0,1,0,0,0,0,0,0,0
Amador,2022-01-22,0,1,0,0,0,0,0,0,0,0
Amador,2022-01-24,1,0,0,0,0,0,0,0,0,0
Amador,2022-01-26,2,0,0,0,0,0,0,0,0,0
Amador,2022-01-28,0,0,1,0,0,0,0,0,0,0
Amador,2022-01-29,3,0,6,0,0,0,0,0,0,0
Amador,2022-01-30,0,0,2,0,0,0,0,0,0,0
Amador,2022-01-31,4,0,17,0,0,0,0,0,0,0
Amador,2022-02-02,1,1,14,0,0,0,0,0,0,0
Amador,2022-02-05,0,0,1,0,0,0,0,0,0,0
Amador,2022-02-07,0,1,14,0,0,0,0,0,0,0
Amador,2022-02-08,0,2,3,0,0,0,0,0,0,0
Amador,2022-02-09,0,0,4,0,0,0,0,0,0,0
Amador,2022-02-10,0,0,1,0,0,0,0,0,0,0
Amador,2022-02-12,1,0,5,0,0,0,0,0,0,0
Amador,2022-02-13,0,0,2,0,0,0,0,0,0,0
Amador,2022-02-14,1,0,1,0,0,0,0,0,0,0
Amador,2022-02-15,0,0,1,0,0,0,0,0,0,0
Amador,2022-02-16,1,0,4,0,0,0,0,0,0,0
Amador,2022-02-19,0,0,2,0,0,0,0,0,0,0
Amador,2022-02-21,0,0,1,0,0,0,0,0,0,0
Amador,2022-02-22,0,0,5,0,0,0,0,0,0,0
Amador,2022-02-23,0,0,3,0,0,0,0,0,0,0
Amador,2022-02-26,0,0,2,0,0,0,0,0,0,0
Amador,2022-03-16,0,0,2,0,0,0,0,0,0,0
Amador,2022-03-20,0,0,1,0,0,0,0,0,0,0
Butte,2021-12-01,0,1,0,0,0,0,0,0,0,0
Butte,2021-12-02,0,1,0,0,0,0,0,0,0,0
Butte,2021-12-03,0,4,0,0,0,0,0,0,0,0
Butte,2021-12-04,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-05,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-06,0,3,0,0,0,0,0,0,0,0
Butte,2021-12-07,1,2,0,0,0,0,0,0,0,0
Butte,2021-12-08,0,3,0,0,0,0,0,0,0,0
Butte,2021-12-09,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-10,0,3,0,0,0,0,0,0,0,0
Butte,2021-12-11,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-12,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-13,1,4,0,0,0,0,0,0,0,0
Butte,2021-12-14,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-15,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-16,0,0,2,0,0,0,0,0,0,0
Butte,2021-12-17,0,6,4,0,0,0,0,0,0,0
Butte,2021-12-20,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-21,0,1,4,0,0,0,0,0,0,0
Butte,2021-12-22,0,1,7,0,0,0,0,0,0,0
Butte,2021-12-23,0,1,1,0,0,0,0,0,0,0
Butte,2021-12-24,0,1,2,0,0,0,0,0,0,0
Butte,2021-12-26,0,2,4,0,0,0,0,0,0,0
Butte,2021-12-27,0,3,4,0,0,0,0,0,0,0
Butte,2021-12-28,1,1,6,0,0,0,0,0,0,0
Butte,2021-12-29,1,0,2,0,0,0,0,0,0,0
Butte,2021-12-30,0,1,11,0,0,0,0,0,0,0
Butte,2022-01-02,1,0,4,0,0,0,0,0,0,0
Butte,2022-01-03,3,4,10,0,0,0,0,0,0,0
Butte,2022-01-04,3,0,10,0,0,0,0,0,0,0
Butte,2022-01-05,2,0,3,0,0,0,0,0,0,0
Butte,2022-01-06,2,0,18,0,0,0,0,0,0,0
Butte,2022-01-07,0,0,20,0,0,0,0,0,0,0
Butte,2022-01-08,0,0,6,0,0,0,0,0,0,0
Butte,2022-01-09,2,0,14,0,0,0,0,0,0,0
Butte,2022-01-10,3,0,20,0,0,0,0,0,0,0
Butte,2022-01-11,2,0,17,0,0,0,0,0,0,0
Butte,2022-01-12,1,0,20,1,0,0,0,0,0,0
Butte,2022-01-13,1,0,5,0,0,0,0,0,0,0
Butte,2022-01-14,0,0,11,0,0,0,0,0,0,0
Butte,2022-01-15,0,0,2,0,0,0,0,0,0,0
Butte,2022-01-16,0,0,1,0,0,0,0,0,0,0
Butte,2022-01-17,1,1,3,0,0,0,0,0,0,0
Butte,2022-01-18,0,1,0,0,0,0,0,0,0,0
Butte,2022-01-19,1,0,0,0,1,0,0,0,0,0
Butte,2022-01-20,1,1,1,0,0,0,0,0,0,0
Butte,2022-01-21,1,0,3,0,0,0,0,0,0,0
Butte,2022-01-22,0,0,6,0,0,0,0,0,0,0
Butte,2022-01-23,1,1,4,0,0,0,0,0,0,0
Butte,2022-01-24,0,0,1,0,0,0,0,0,0,0
Butte,2022-01-25,0,1,2,0,0,0,0,0,0,0
Butte,2022-01-26,1,1,6,0,0,0,0,0,0,0
Butte,2022-01-27,1,0,9,0,0,0,0,0,0,0
Butte,2022-01-28,0,0,7,0,0,0,0,0,0,0
Butte,2022-01-30,1,0,0,0,0,0,0,0,0,0
Butte,2022-01-31,5,0,18,0,0,0,0,0,0,0
Butte,2022-02-01,4,0,29,0,0,0,0,0,0,0
Butte,2022-02-02,1,1,9,0,0,0,0,0,0,0
Butte,2022-02-03,1,2,4,0,0,0,0,0,0,0
Butte,2022-02-04,0,1,5,0,0,0,0,0,0,0
Butte,2022-02-05,0,1,1,0,0,0,0,0,0,0
Butte,2022-02-06,0,0,7,0,0,0,0,0,0,0
Butte,2022-02-07,1,0,25,0,0,0,0,0,0,0
Butte,2022-02-08,0,0,15,0,0,0,0,0,0,0
Butte,2022-02-09,3,0,13,0,0,0,0,0,0,0
Butte,2022-02-10,1,0,17,0,0,0,0,0,0,0
Butte,2022-02-11,1,0,11,0,0,0,0,0,0,0
Butte,2022-02-12,0,0,12,0,0,0,0,0,0,0
Butte,2022-02-13,0,0,4,0,0,0,0,0,0,0
Butte,2022-02-14,1,0,10,0,0,0,0,0,0,0
Butte,2022-02-15,2,0,9,0,0,0,0,0,0,0
Butte,2022-02-16,3,0,11,0,0,0,0,0,0,0
Butte,2022-02-17,2,0,5,0,0,0,0,0,0,0
Butte,2022-02-18,0,0,8,0,0,0,0,0,0,0
Butte,2022-02-19,0,0,2,0,0,0,0,0,0,0
Butte,2022-02-20,0,0,4,0,0,0,0,0,0,0
Butte,2022-02-21,0,0,3,0,0,0,0,0,0,0
Butte,2022-02-22,4,0,9,0,0,0,0,0,0,0
Butte,2022-02-23,2,0,10,0,0,0,0,0,0,0
Butte,2022-02-24,0,0,1,0,0,0,0,0,0,0
Butte,2022-02-25,0,0,3,0,0,0,0,0,0,0
Butte,2022-02-28,0,0,5,0,0,0,0,0,0,0
Butte,2022-03-01,0,0,4,0,0,0,0,0,0,0
Butte,2022-03-02,1,0,1,0,0,0,0,0,0,0
Butte,2022-03-03,1,0,3,0,0,0,0,0,0,0
Butte,2022-03-04,1,0,1,0,0,0,0,0,0,0
Butte,2022-03-05,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-07,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-08,0,0,2,0,0,0,0,0,0,0
Butte,2022-03-10,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-11,0,0,2,0,0,0,0,0,0,0
Butte,2022-03-13,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-14,1,0,2,0,0,0,0,0,0,0
Butte,2022-03-16,0,0,8,0,0,0,0,0,0,0
Butte,2022-03-18,0,0,2,0,0,0,0,0,0,0
Butte,2022-03-20,1,0,0,0,0,0,0,0,0,0
Butte,2022-03-21,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-22,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-23,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-24,0,0,3,0,0,0,0,0,0,0
Butte,2022-03-25,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-28,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-29,0,0,2,0,0,0,0,0,0,0
Butte,2022-03-30,0,0,1,0,0,0,0,0,0,0
Butte,2022-04-07,0,0,1,0,0,0,0,0,0,0
Calaveras,2021-12-02,0,1,0,0,0,0,0,0,0,0
Calaveras,2021-12-03,0,1,0,0,0,0,0,0,0,0
Calaveras,2021-12-04,1,0,0,0,0,0,0,0,0,0
Calaveras,2021-12-06,0,5,0,0,0,0,0,0,0,0
Calaveras,2021-12-07,0,3,0,0,0,0,0,0,0,0
Calaveras,2021-12-08,0,1,0,0,0,0,0,0,0,0
Calaveras,2021-12-10,0,4,0,0,0,0,0,0,0,0
Calaveras,2021-12-12,0,2,0,0,0,0,0,0,0,0
Calaveras,2021-12-13,1,2,0,0,0,0,0,0,0,0
Calaveras,2021-12-14,1,0,1,0,0,0,0,0,0,0
Calaveras,2021-12-17,0,2,0,0,0,0,0,0,0,0
Calaveras,2021-12-18,0,1,0,0,0,0,0,0,0,0
Calaveras,2021-12-26,0,0,1,0,0,0,0,0,0,0
Calaveras,2021-12-27,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-01-04,1,0,0,0,0,0,0,0,0,0
Calaveras,2022-01-07,0,1,0,0,0,0,0,0,0,0
Calaveras,2022-01-09,0,1,2,0,0,0,0,0,0,0
Calaveras,2022-01-10,1,1,1,0,0,0,0,0,0,0
Calaveras,2022-01-11,1,0,4,0,0,0,0,0,0,0
Calaveras,2022-01-12,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-01-14,1,0,0,0,0,0,0,0,0,0
Calaveras,2022-01-18,1,0,2,0,0,0,0,0,0,0
Calaveras,2022-01-19,1,1,1,0,0,0,0,0,0,0
Calaveras,2022-01-20,1,0,0,0,0,0,0,0,0,0
Calaveras,2022-01-21,1,0,2,0,0,0,0,0,0,0
Calaveras,2022-01-23,0,1,0,0,0,0,0,0,0,0
Calaveras,2022-01-25,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-01-27,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-01-29,0,0,3,0,0,0,0,0,0,0
Calaveras,2022-01-30,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-01-31,0,0,21,0,0,0,0,0,0,0
Calaveras,2022-02-01,0,0,5,0,0,0,0,0,0,0
Calaveras,2022-02-02,0,0,6,0,0,0,0,0,0,0
Calaveras,2022-02-04,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-02-05,1,0,0,0,0,0,0,0,0,0
Calaveras,2022-02-06,0,0,3,0,0,0,0,0,0,0
Calaveras,2022-02-07,0,0,7,0,0,0,0,0,0,0
Calaveras,2022-02-08,1,0,3,0,0,0,0,0,0,0
Calaveras,2022-02-09,1,0,6,0,0,0,0,0,0,0
Calaveras,2022-02-10,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-02-11,0,0,7,0,0,0,0,0,0,0
Calaveras,2022-02-12,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-02-14,1,0,1,0,0,0,0,0,0,0
Calaveras,2022-02-15,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-02-16,0,0,2,0,0,0,0,0,0,0
Calaveras,2022-02-17,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-02-18,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-02-19,1,0,0,0,0,0,0,0,0,0
Calaveras,2022-02-21,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-02-22,0,0,2,0,0,0,0,0,0,0
Calaveras,2022-02-23,0,0,3,0,0,0,0,0,0,0
Calaveras,2022-02-24,1,0,2,0,0,0,0,0,0,0
Calaveras,2022-02-28,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-01,0,0,2,0,0,0,0,0,0,0
Calaveras,2022-03-04,0,0,2,0,0,0,0,0,0,0
Calaveras,2022-03-07,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-08,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-03-09,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-11,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-15,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-22,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-25,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-04-05,0,0,1,0,0,0,0,0,0,0
Colusa,2021-12-30,0,0,1,0,0,0,0,0,0,0
Colusa,2022-01-14,0,0,1,0,0,0,0,0,0,0
Colusa,2022-01-20,1,0,0,0,0,0,0,0,0,0
Colusa,2022-01-24,1,0,0,0,0,0,0,0,0,0
Colusa,2022-01-26,0,1,0,0,0,0,0,0,0,0
Colusa,2022-01-28,0,0,1,0,0,0,0,0,0,0
Colusa,2022-01-31,1,0,6,0,0,0,0,0,0,0
Colusa,2022-02-03,2,0,3,0,0,0,0,0,0,0
Colusa,2022-02-07,0,0,2,0,0,0,0,0,0,0
Colusa,2022-02-09,0,0,1,0,0,0,0,0,0,0
Colusa,2022-02-16,0,0,2,0,0,0,0,0,0,0
Colusa,2022-02-19,0,0,1,0,0,0,0,0,0,0
Colusa,2022-02-21,0,0,2,0,0,0,0,0,0,0
Colusa,2022-02-23,0,0,1,0,0,0,0,0,0,0
Colusa,2022-03-09,0,0,1,0,0,0,0,0,0,0
Colusa,2022-03-16,0,0,1,0,0,0,0,0,0,0
Contra Costa,2021-12-01,7,11,1,0,0,0,0,0,0,0
Contra Costa,2021-12-02,2,14,0,0,0,0,0,0,0,0
Contra Costa,2021-12-03,1,17,0,0,0,0,0,0,0,0
Contra Costa,2021-12-04,0,24,0,0,0,0,0,0,0,0
Contra Costa,2021-12-05,3,21,0,0,0,0,0,0,0,0
Contra Costa,2021-12-06,2,20,1,0,0,0,0,0,0,0
Contra Costa,2021-12-07,1,26,0,0,0,0,0,0,0,0
Contra Costa,2021-12-08,1,23,3,0,0,0,0,0,0,0
Contra Costa,2021-12-09,4,18,0,0,0,0,0,0,0,0
Contra Costa,2021-12-10,3,26,1,0,0,0,0,0,0,0
Contra Costa,2021-12-11,0,17,0,0,0,0,0,0,0,0
Contra Costa,2021-12-12,3,31,1,0,0,0,0,0,0,0
Contra Costa,2021-12-13,4,29,8,0,0,0,0,0,0,0
Contra Costa,2021-12-14,4,27,10,0,0,0,0,0,0,0
Contra Costa,2021-12-15,2,19,12,0,0,0,0,0,0,0
Contra Costa,2021-12-16,1,10,14,0,0,0,0,0,0,0
Contra Costa,2021-12-17,4,8,6,0,0,0,0,0,0,0
Contra Costa,2021-12-18,0,13,11,0,0,0,0,0,0,0
Contra Costa,2021-12-19,2,3,2,0,0,0,0,0,0,0
Contra Costa,2021-12-20,8,9,18,0,0,0,0,0,0,0
Contra Costa,2021-12-21,10,5,17,0,0,0,0,0,0,0
Contra Costa,2021-12-22,5,6,41,0,0,0,0,0,0,0
Contra Costa,2021-12-23,8,2,20,0,0,0,0,0,0,0
Contra Costa,2021-12-24,1,2,7,0,0,0,0,0,0,0
Contra Costa,2021-12-25,0,0,4,0,0,0,0,0,0,0
Contra Costa,2021-12-26,10,2,38,0,0,0,0,0,0,0
Contra Costa,2021-12-27,11,9,77,0,0,0,0,0,0,0
Contra Costa,2021-12-28,10,2,26,0,0,0,0,0,0,0
Contra Costa,2021-12-29,2,3,21,0,0,0,0,0,0,0
Contra Costa,2021-12-30,5,2,40,0,0,0,0,0,0,0
Contra Costa,2021-12-31,1,0,8,0,0,0,0,0,0,0
Contra Costa,2022-01-01,2,0,7,0,0,0,0,0,0,0
Contra Costa,2022-01-02,2,0,11,0,0,0,0,0,0,0
Contra Costa,2022-01-03,12,1,51,0,0,0,0,0,0,0
Contra Costa,2022-01-04,6,3,38,0,1,0,0,0,0,0
Contra Costa,2022-01-05,7,2,13,1,0,0,0,0,0,0
Contra Costa,2022-01-06,5,3,49,0,2,0,0,0,0,0
Contra Costa,2022-01-07,8,2,20,0,0,0,0,0,0,0
Contra Costa,2022-01-08,5,1,17,0,0,0,0,0,0,0
Contra Costa,2022-01-09,9,2,46,1,0,0,0,0,0,0
Contra Costa,2022-01-10,11,1,59,1,0,0,0,0,0,0
Contra Costa,2022-01-11,9,3,19,0,1,0,0,0,0,0
Contra Costa,2022-01-12,8,2,10,0,0,0,0,0,0,0
Contra Costa,2022-01-13,6,1,9,0,0,0,0,0,0,0
Contra Costa,2022-01-14,3,0,18,0,0,0,0,0,0,0
Contra Costa,2022-01-15,3,0,13,0,0,0,0,0,0,0
Contra Costa,2022-01-16,4,0,9,0,1,0,0,0,0,0
Contra Costa,2022-01-17,5,0,18,0,0,0,0,0,0,0
Contra Costa,2022-01-18,8,0,15,0,0,0,0,0,0,0
Contra Costa,2022-01-19,4,3,18,0,0,0,0,0,0,0
Contra Costa,2022-01-20,3,4,13,0,0,0,0,0,0,0
Contra Costa,2022-01-21,5,0,13,0,0,0,0,0,0,0
Contra Costa,2022-01-22,2,3,12,0,0,0,0,0,0,0
Contra Costa,2022-01-23,7,0,17,0,0,0,0,0,0,0
Contra Costa,2022-01-24,11,2,29,1,0,0,0,0,0,0
Contra Costa,2022-01-25,11,1,24,0,0,0,0,0,0,0
Contra Costa,2022-01-26,11,3,29,0,0,0,0,0,0,0
Contra Costa,2022-01-27,16,0,58,0,0,0,0,0,0,0
Contra Costa,2022-01-28,4,3,29,0,0,0,0,0,0,0
Contra Costa,2022-01-29,3,0,26,0,0,0,0,0,0,0
Contra Costa,2022-01-30,5,0,37,0,0,0,0,0,0,0
Contra Costa,2022-01-31,14,1,102,0,0,0,0,0,0,0
Contra Costa,2022-02-01,13,1,78,0,0,0,0,0,0,0
Contra Costa,2022-02-02,19,1,60,0,0,0,0,0,0,0
Contra Costa,2022-02-03,9,5,24,0,0,0,0,0,0,0
