county,date,other,delta,omicron,epsilon,alpha,iota,gamma,zeta,mu,beta
Alameda,2022-02-25,4,0,27,0,0,0,0,0,0,0
Alameda,2022-02-26,0,0,17,0,0,0,0,0,0,0
Alameda,2022-02-27,0,0,9,0,0,0,0,0,0,0
Alameda,2022-02-28,6,0,15,0,0,0,0,0,0,0
Alameda,2022-03-01,5,0,30,0,0,0,0,0,0,0
Alameda,2022-03-02,1,0,15,0,0,0,0,0,0,0
Alameda,2022-03-03,4,0,22,0,0,0,0,0,0,0
Alameda,2022-03-04,4,0,24,0,0,0,0,0,0,0
Alameda,2022-03-05,0,0,11,0,0,0,0,0,0,0
Alameda,2022-03-06,0,0,10,0,0,0,0,0,0,0
Alameda,2022-03-07,3,0,30,0,0,0,0,0,0,0
Alameda,2022-03-08,4,0,27,0,0,0,0,0,0,0
Alameda,2022-03-09,5,0,46,0,0,0,0,0,0,0
Alameda,2022-03-10,2,0,24,0,0,0,0,0,0,0
Alameda,2022-03-11,1,0,27,0,0,0,0,0,0,0
Alameda,2022-03-12,1,0,10,0,0,0,0,0,0,0
Alameda,2022-03-13,0,0,7,0,0,0,0,0,0,0
Alameda,2022-03-14,5,0,15,0,0,0,0,0,0,0
Alameda,2022-03-15,1,0,13,0,0,0,0,0,0,0
Alameda,2022-03-16,3,0,13,0,0,0,0,0,0,0
Alameda,2022-03-17,2,0,20,0,0,0,0,0,0,0
Alameda,2022-03-18,2,0,21,0,0,0,0,0,0,0
Alameda,2022-03-19,1,0,15,0,0,0,0,0,0,0
Alameda,2022-03-20,2,0,11,0,0,0,0,0,0,0
Alameda,2022-03-21,2,0,21,0,0,0,0,0,0,0
Alameda,2022-03-22,0,0,28,0,0,0,0,0,0,0
Alameda,2022-03-23,1,0,9,0,0,0,0,0,0,0
Alameda,2022-03-24,2,0,18,0,0,0,0,0,0,0
Alameda,2022-03-25,1,0,7,0,0,0,0,0,0,0
Alameda,2022-03-26,1,0,8,0,0,0,0,0,0,0
Alameda,2022-03-27,1,0,13,0,0,0,0,0,0,0
Alameda,2022-03-28,1,0,15,0,0,0,0,0,0,0
Alameda,2022-03-29,0,0,12,0,0,0,0,0,0,0
Alameda,2022-03-30,1,0,12,0,0,0,0,0,0,0
Alameda,2022-03-31,1,0,14,0,0,0,0,0,0,0
Alameda,2022-04-01,0,0,14,0,0,0,0,0,0,0
Alameda,2022-04-02,0,0,9,0,0,0,0,0,0,0
Alameda,2022-04-03,0,0,13,0,0,0,0,0,0,0
Alameda,2022-04-04,0,0,14,0,0,0,0,0,0,0
Alameda,2022-04-05,0,0,14,0,0,0,0,0,0,0
Alameda,2022-04-06,0,0,10,0,0,0,0,0,0,0
Alameda,2022-04-07,1,0,17,0,0,0,0,0,0,0
Alameda,2022-04-08,0,0,13,0,0,0,0,0,0,0
Alameda,2022-04-09,0,0,8,0,0,0,0,0,0,0
Alameda,2022-04-10,1,0,17,0,0,0,0,0,0,0
Alameda,2022-04-11,4,0,26,0,0,0,0,0,0,0
Alameda,2022-04-12,2,0,20,0,0,0,0,0,0,0
Alameda,2022-04-13,3,0,15,0,0,0,0,0,0,0
Alameda,2022-04-14,4,0,24,0,0,0,0,0,0,0
Alameda,2022-04-15,3,0,9,0,0,0,0,0,0,0
Alameda,2022-04-16,1,0,12,0,0,0,0,0,0,0
Alameda,2022-04-17,1,0,1,0,0,0,0,0,0,0
Alameda,2022-04-18,1,0,15,0,0,0,0,0,0,0
Alameda,2022-04-19,2,0,5,0,0,0,0,0,0,0
Alameda,2022-04-20,4,0,4,0,0,0,0,0,0,0
Alameda,2022-04-21,3,0,4,0,0,0,0,0,0,0
Alameda,2022-04-22,5,0,8,0,0,0,0,0,0,0
Alameda,2022-04-23,3,0,9,0,0,0,0,0,0,0
Alameda,2022-04-24,0,0,1,0,0,0,0,0,0,0
Alameda,2022-04-25,7,0,1,0,0,0,0,0,0,0
Alameda,2022-04-26,1,0,7,0,0,0,0,0,0,0
Alameda,2022-04-27,1,0,1,0,0,0,0,0,0,0
Alameda,2022-04-28,3,0,6,0,0,0,0,0,0,0
Alameda,2022-04-29,1,0,1,0,0,0,0,0,0,0
Alameda,2022-05-02,1,0,1,0,0,0,0,0,0,0
Alameda,2022-05-04,0,0,2,0,0,0,0,0,0,0
Alameda,2022-05-10,1,0,0,0,0,0,0,0,0,0
Alpine,2022-03-21,0,0,1,0,0,0,0,0,0,0
Amador,2021-12-01,0,8,0,0,0,0,0,0,0,0
Amador,2021-12-04,0,4,0,0,0,0,0,0,0,0
Amador,2021-12-06,0,1,0,0,0,0,0,0,0,0
Amador,2021-12-11,0,7,0,0,0,0,0,0,0,0
Amador,2021-12-13,0,5,0,0,0,0,0,0,0,0
Amador,2021-12-14,0,2,0,0,0,0,0,0,0,0
Amador,2021-12-20,0,1,0,0,0,0,0,0,0,0
Amador,2021-12-21,0,1,1,0,0,0,0,0,0,0
Amador,2021-12-27,1,0,0,0,0,0,0,0,0,0
Amador,2021-12-29,0,0,1,0,0,0,0,0,0,0
Amador,2021-12-30,0,0,1,0,0,0,0,0,0,0
Amador,2022-01-07,0,0,1,0,0,0,0,0,0,0
Amador,2022-01-08,0,0,0,1,0,0,0,0,0,0
Amador,2022-01-12,0,1,1,0,0,0,0,0,0,0
Amador,2022-01-15,0,1,0,0,0,0,0,0,0,0
Amador,2022-01-19,0,2,0,0,0,0,0,0,0,0
Amador,2022-01-26,1,0,2,0,0,0,0,0,0,0
Amador,2022-01-28,0,0,1,0,0,0,0,0,0,0
Amador,2022-01-29,3,0,6,0,0,0,0,0,0,0
Amador,2022-01-30,0,0,1,0,0,0,0,0,0,0
Amador,2022-01-31,4,0,15,0,0,0,0,0,0,0
Amador,2022-02-02,2,1,15,0,0,0,0,0,0,0
Amador,2022-02-05,0,0,1,0,0,0,0,0,0,0
Amador,2022-02-07,0,0,14,0,0,0,0,0,0,0
Amador,2022-02-08,0,1,4,0,0,0,0,0,0,0
Amador,2022-02-09,0,0,4,0,0,0,0,0,0,0
Amador,2022-02-10,0,0,1,0,0,0,0,0,0,0
Amador,2022-02-12,1,0,4,0,0,0,0,0,0,0
Amador,2022-02-13,0,0,2,0,0,0,0,0,0,0
Amador,2022-02-14,1,0,1,0,0,0,0,0,0,0
Amador,2022-02-15,0,0,1,0,0,0,0,0,0,0
Amador,2022-02-16,1,0,4,0,0,0,0,0,0,0
Amador,2022-02-19,0,0,1,0,0,0,0,0,0,0
Amador,2022-02-21,0,0,1,0,0,0,0,0,0,0
Amador,2022-02-22,0,0,6,0,0,0,0,0,0,0
Amador,2022-02-23,0,0,3,0,0,0,0,0,0,0
Amador,2022-02-26,0,0,2,0,0,0,0,0,0,0
Amador,2022-03-10,0,0,1,0,0,0,0,0,0,0
Amador,2022-03-12,0,0,1,0,0,0,0,0,0,0
Amador,2022-03-16,0,0,2,0,0,0,0,0,0,0
Amador,2022-03-20,0,0,1,0,0,0,0,0,0,0
Butte,2021-12-01,0,1,0,0,0,0,0,0,0,0
Butte,2021-12-02,0,1,0,0,0,0,0,0,0,0
Butte,2021-12-03,0,4,0,0,0,0,0,0,0,0
Butte,2021-12-04,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-05,1,1,0,0,0,0,0,0,0,0
Butte,2021-12-06,0,4,0,0,0,0,0,0,0,0
Butte,2021-12-07,1,3,0,0,0,0,0,0,0,0
Butte,2021-12-08,0,1,0,0,0,0,0,0,0,0
Butte,2021-12-09,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-10,0,3,0,0,0,0,0,0,0,0
Butte,2021-12-11,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-12,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-13,1,3,0,0,0,0,0,0,0,0
Butte,2021-12-14,1,4,0,0,0,0,0,0,0,0
Butte,2021-12-15,0,2,0,0,0,0,0,0,0,0
Butte,2021-12-16,0,0,2,0,0,0,0,0,0,0
Butte,2021-12-17,0,5,2,0,0,0,0,0,0,0
Butte,2021-12-20,0,2,1,0,0,0,0,0,0,0
Butte,2021-12-21,1,1,4,0,0,0,0,0,0,0
Butte,2021-12-22,0,1,10,0,0,0,0,0,0,0
Butte,2021-12-23,0,1,1,0,0,0,0,0,0,0
Butte,2021-12-24,0,1,2,0,0,0,0,0,0,0
Butte,2021-12-26,0,2,3,0,0,0,0,0,0,0
Butte,2021-12-27,1,3,5,0,0,0,0,0,0,0
Butte,2021-12-28,3,1,4,0,0,0,0,0,0,0
Butte,2021-12-29,0,1,3,0,0,0,0,0,0,0
Butte,2021-12-30,0,1,8,0,0,0,0,0,0,0
Butte,2022-01-02,0,0,4,0,0,0,0,0,0,0
Butte,2022-01-03,2,3,11,0,0,0,0,0,0,0
Butte,2022-01-04,2,0,10,0,0,0,0,0,0,0
Butte,2022-01-05,4,0,2,0,0,0,0,0,0,0
Butte,2022-01-06,2,0,17,0,0,0,0,0,0,0
Butte,2022-01-07,0,0,20,0,0,0,0,0,0,0
Butte,2022-01-08,0,0,5,0,0,0,0,0,0,0
Butte,2022-01-09,3,0,17,0,0,0,0,0,0,0
Butte,2022-01-10,2,0,21,0,1,0,0,0,0,0
Butte,2022-01-11,0,0,13,0,0,0,0,0,0,0
Butte,2022-01-12,1,0,20,0,0,0,0,0,0,0
Butte,2022-01-13,1,0,4,0,0,0,0,0,0,0
Butte,2022-01-14,2,0,9,0,1,0,0,0,0,0
Butte,2022-01-15,0,0,2,0,0,0,0,0,0,0
Butte,2022-01-16,0,0,1,0,0,0,0,0,0,0
Butte,2022-01-17,0,1,4,0,0,0,0,0,0,0
Butte,2022-01-18,0,1,0,0,0,0,0,0,0,0
Butte,2022-01-19,3,0,1,0,0,0,0,0,0,0
Butte,2022-01-20,0,0,3,0,0,0,0,0,0,0
Butte,2022-01-21,1,0,3,0,0,0,0,0,0,0
Butte,2022-01-22,0,0,7,0,0,0,0,0,0,0
Butte,2022-01-23,1,1,6,0,0,0,0,0,0,0
Butte,2022-01-24,2,0,1,0,0,0,0,0,0,0
Butte,2022-01-25,0,0,1,0,0,0,0,0,0,0
Butte,2022-01-26,1,0,5,0,0,0,0,0,0,0
Butte,2022-01-27,2,0,7,0,0,0,0,0,0,0
Butte,2022-01-28,0,0,8,0,0,0,0,0,0,0
Butte,2022-01-29,0,1,3,0,0,0,0,0,0,0
Butte,2022-01-30,0,0,1,0,0,0,0,0,0,0
Butte,2022-01-31,3,0,25,0,0,0,0,0,0,0
Butte,2022-02-01,2,0,28,0,0,0,0,0,0,0
Butte,2022-02-02,1,1,8,0,0,0,0,0,0,0
Butte,2022-02-03,1,2,5,0,0,0,0,0,0,0
Butte,2022-02-04,0,1,4,0,0,0,0,0,0,0
Butte,2022-02-05,0,0,2,0,0,0,0,0,0,0
Butte,2022-02-06,0,0,7,0,0,0,0,0,0,0
Butte,2022-02-07,1,0,24,0,0,0,0,0,0,0
Butte,2022-02-08,1,0,14,0,0,0,0,0,0,0
Butte,2022-02-09,4,0,14,0,0,0,0,0,0,0
Butte,2022-02-10,2,0,20,0,0,0,0,0,0,0
Butte,2022-02-11,0,0,8,0,0,0,0,0,0,0
Butte,2022-02-12,0,0,12,0,0,0,0,0,0,0
Butte,2022-02-13,1,0,3,0,0,0,0,0,0,0
Butte,2022-02-14,1,0,9,0,0,0,0,0,0,0
Butte,2022-02-15,2,0,9,0,0,0,0,0,0,0
Butte,2022-02-16,3,0,11,0,0,0,0,0,0,0
Butte,2022-02-17,2,0,5,0,0,0,0,0,0,0
Butte,2022-02-18,0,0,10,0,0,0,0,0,0,0
Butte,2022-02-19,0,0,3,0,0,0,0,0,0,0
Butte,2022-02-20,0,0,3,0,0,0,0,0,0,0
Butte,2022-02-21,0,0,3,0,0,0,0,0,0,0
Butte,2022-02-22,4,0,9,0,0,0,0,0,0,0
Butte,2022-02-23,2,0,8,0,0,0,0,0,0,0
Butte,2022-02-25,0,0,4,0,0,0,0,0,0,0
Butte,2022-02-26,0,0,1,0,0,0,0,0,0,0
Butte,2022-02-27,0,0,1,0,0,0,0,0,0,0
Butte,2022-02-28,2,0,4,0,0,0,0,0,0,0
Butte,2022-03-01,0,0,4,0,0,0,0,0,0,0
Butte,2022-03-02,1,0,1,0,0,0,0,0,0,0
Butte,2022-03-03,1,0,2,0,0,0,0,0,0,0
Butte,2022-03-04,1,0,1,0,0,0,0,0,0,0
Butte,2022-03-05,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-07,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-08,0,0,3,0,0,0,0,0,0,0
Butte,2022-03-10,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-11,0,0,3,0,0,0,0,0,0,0
Butte,2022-03-13,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-14,1,0,5,0,0,0,0,0,0,0
Butte,2022-03-15,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-16,0,0,7,0,0,0,0,0,0,0
Butte,2022-03-17,2,0,1,0,0,0,0,0,0,0
Butte,2022-03-18,0,0,2,0,0,0,0,0,0,0
Butte,2022-03-20,1,0,0,0,0,0,0,0,0,0
Butte,2022-03-21,0,0,2,0,0,0,0,0,0,0
Butte,2022-03-22,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-23,0,0,2,0,0,0,0,0,0,0
Butte,2022-03-24,0,0,3,0,0,0,0,0,0,0
Butte,2022-03-25,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-28,0,0,1,0,0,0,0,0,0,0
Butte,2022-03-29,0,0,2,0,0,0,0,0,0,0
Butte,2022-03-30,0,0,1,0,0,0,0,0,0,0
Butte,2022-04-07,0,0,1,0,0,0,0,0,0,0
Butte,2022-04-14,0,0,1,0,0,0,0,0,0,0
Butte,2022-04-16,0,0,1,0,0,0,0,0,0,0
Butte,2022-04-18,0,0,1,0,0,0,0,0,0,0
Butte,2022-04-25,1,0,0,0,0,0,0,0,0,0
Butte,2022-04-27,0,0,1,0,0,0,0,0,0,0
Calaveras,2021-12-02,0,1,0,0,0,0,0,0,0,0
Calaveras,2021-12-03,0,1,0,0,0,0,0,0,0,0
Calaveras,2021-12-04,1,0,0,0,0,0,0,0,0,0
Calaveras,2021-12-06,0,4,0,0,0,0,0,0,0,0
Calaveras,2021-12-07,0,3,0,0,0,0,0,0,0,0
Calaveras,2021-12-08,0,1,0,0,0,0,0,0,0,0
Calaveras,2021-12-10,0,5,0,0,0,0,0,0,0,0
Calaveras,2021-12-12,0,1,0,0,0,0,0,0,0,0
Calaveras,2021-12-13,1,2,0,0,0,0,0,0,0,0
Calaveras,2021-12-14,1,0,1,0,0,0,0,0,0,0
Calaveras,2021-12-17,0,2,0,0,0,0,0,0,0,0
Calaveras,2021-12-18,0,1,0,0,0,0,0,0,0,0
Calaveras,2021-12-20,0,1,0,0,0,0,0,0,0,0
Calaveras,2021-12-27,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-01-04,1,0,0,0,0,0,0,0,0,0
Calaveras,2022-01-07,0,1,0,0,0,0,0,0,0,0
Calaveras,2022-01-09,0,1,2,0,0,0,0,0,0,0
Calaveras,2022-01-10,0,1,1,0,0,0,0,0,0,0
Calaveras,2022-01-11,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-01-12,1,0,1,0,0,0,0,0,0,0
Calaveras,2022-01-14,1,0,0,0,0,0,0,0,0,0
Calaveras,2022-01-15,0,0,0,1,0,0,0,0,0,0
Calaveras,2022-01-17,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-01-18,1,0,1,0,0,0,0,0,0,0
Calaveras,2022-01-19,0,2,1,0,0,0,0,0,0,0
Calaveras,2022-01-20,1,0,0,0,0,0,0,0,0,0
Calaveras,2022-01-21,1,0,2,0,0,0,0,0,0,0
Calaveras,2022-01-24,0,0,0,1,0,0,0,0,0,0
Calaveras,2022-01-25,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-01-27,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-01-29,0,0,3,0,0,0,0,0,0,0
Calaveras,2022-01-30,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-01-31,1,0,19,0,0,0,0,0,0,0
Calaveras,2022-02-01,0,0,7,0,0,0,0,0,0,0
Calaveras,2022-02-02,0,0,6,0,0,0,0,0,0,0
Calaveras,2022-02-05,1,0,1,0,0,0,0,0,0,0
Calaveras,2022-02-06,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-02-07,1,0,2,0,0,0,0,0,0,0
Calaveras,2022-02-08,1,0,2,0,0,0,0,0,0,0
Calaveras,2022-02-09,0,0,9,0,0,0,0,0,0,0
Calaveras,2022-02-10,0,0,3,0,0,0,0,0,0,0
Calaveras,2022-02-11,0,0,9,0,0,0,0,0,0,0
Calaveras,2022-02-12,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-02-14,1,0,1,0,0,0,0,0,0,0
Calaveras,2022-02-15,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-02-16,0,0,2,0,0,0,0,0,0,0
Calaveras,2022-02-17,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-02-18,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-02-19,1,0,0,0,0,0,0,0,0,0
Calaveras,2022-02-21,0,0,2,0,0,0,0,0,0,0
Calaveras,2022-02-22,0,0,2,0,0,0,0,0,0,0
Calaveras,2022-02-23,0,0,3,0,0,0,0,0,0,0
Calaveras,2022-02-24,1,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-01,0,0,2,0,0,0,0,0,0,0
Calaveras,2022-03-04,0,0,2,0,0,0,0,0,0,0
Calaveras,2022-03-07,1,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-08,1,0,4,0,0,0,0,0,0,0
Calaveras,2022-03-09,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-11,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-15,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-16,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-17,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-18,0,0,4,0,0,0,0,0,0,0
Calaveras,2022-03-22,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-03-24,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-04-05,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-04-18,0,0,1,0,0,0,0,0,0,0
Calaveras,2022-04-26,1,0,0,0,0,0,0,0,0,0
Colusa,2021-12-30,0,0,2,0,0,0,0,0,0,0
Colusa,2022-01-20,1,0,0,0,0,0,0,0,0,0
Colusa,2022-01-24,1,0,0,0,0,0,0,0,0,0
Colusa,2022-01-26,0,1,0,0,0,0,0,0,0,0
Colusa,2022-01-28,0,0,1,0,0,0,0,0,0,0
Colusa,2022-01-31,1,0,7,0,0,0,0,0,0,0
Colusa,2022-02-03,2,0,3,0,0,0,0,0,0,0
Colusa,2022-02-07,0,0,1,0,0,0,0,0,0,0
Colusa,2022-02-09,0,0,1,0,0,0,0,0,0,0
Colusa,2022-02-16,0,0,2,0,0,0,0,0,0,0
Colusa,2022-02-19,0,0,1,0,0,0,0,0,0,0
Colusa,2022-02-21,0,0,2,0,0,0,0,0,0,0
Colusa,2022-02-23,0,0,1,0,0,0,0,0,0,0
Colusa,2022-03-09,0,0,1,0,0,0,0,0,0,0
Colusa,2022-03-16,0,0,1,0,0,0,0,0,0,0
Contra Costa,2021-12-01,7,11,1,0,0,0,0,0,0,0
Contra Costa,2021-12-02,2,11,0,0,0,0,0,0,0,0
Contra Costa,2021-12-03,0,18,0,0,0,0,0,0,0,0
Contra Costa,2021-12-04,0,27,0,0,0,0,0,0,0,0
Contra Costa,2021-12-05,3,20,0,0,0,0,0,0,0,0
Contra Costa,2021-12-06,5,19,1,0,0,0,0,0,0,0
Contra Costa,2021-12-07,1,24,0,0,0,0,0,0,0,0
Contra Costa,2021-12-08,0,24,3,0,0,0,0,0,0,0
Contra Costa,2021-12-09,4,15,0,0,0,0,0,0,0,0
Contra Costa,2021-12-10,3,26,1,0,0,0,0,0,0,0
Contra Costa,2021-12-11,0,17,0,0,0,0,0,0,0,0
Contra Costa,2021-12-12,2,27,1,0,0,0,0,0,0,0
Contra Costa,2021-12-13,5,34,6,0,0,0,0,0,0,0
Contra Costa,2021-12-14,4,27,8,0,0,0,0,0,0,0
Contra Costa,2021-12-15,3,19,11,0,0,0,0,0,0,0
Contra Costa,2021-12-16,1,9,12,0,0,0,0,0,0,0
Contra Costa,2021-12-17,4,7,6,0,0,0,0,0,0,0
Contra Costa,2021-12-18,0,10,10,0,0,0,0,0,0,0
Contra Costa,2021-12-19,2,5,4,0,0,0,0,0,0,0
Contra Costa,2021-12-20,10,9,18,0,0,0,0,0,0,0
Contra Costa,2021-12-21,9,3,16,0,0,0,0,0,0,0
Contra Costa,2021-12-22,5,8,42,0,0,0,0,0,0,0
Contra Costa,2021-12-23,6,3,21,0,0,0,0,0,0,0
Contra Costa,2021-12-24,1,1,7,0,0,0,0,0,0,0
Contra Costa,2021-12-25,0,0,4,0,0,0,0,0,0,0
Contra Costa,2021-12-26,13,3,37,0,0,0,0,0,0,0
Contra Costa,2021-12-27,13,9,72,0,0,0,0,0,0,0
Contra Costa,2021-12-28,12,1,28,0,0,0,0,0,0,0
Contra Costa,2021-12-29,3,4,29,0,0,0,0,0,0,0
Contra Costa,2021-12-30,3,1,39,0,0,0,0,0,0,0
Contra Costa,2021-12-31,1,1,6,0,0,0,0,0,0,0
Contra Costa,2022-01-01,2,0,6,0,0,0,0,0,0,0
Contra Costa,2022-01-02,1,0,15,0,0,0,0,0,0,0
Contra Costa,2022-01-03,11,2,56,0,0,0,0,0,0,0
Contra Costa,2022-01-04,7,2,33,0,1,0,0,0,0,0
Contra Costa,2022-01-05,6,1,13,0,0,1,0,0,0,0
Contra Costa,2022-01-06,7,5,45,0,2,0,0,0,0,0
Contra Costa,2022-01-07,9,2,21,1,0,0,0,0,0,0
Contra Costa,2022-01-08,3,0,16,0,0,0,0,0,0,0
Contra Costa,2022-01-09,10,0,48,0,0,0,0,0,0,0
Contra Costa,2022-01-10,12,3,58,0,0,0,0,0,0,0
Contra Costa,2022-01-11,6,2,17,0,0,0,0,0,0,0
Contra Costa,2022-01-12,9,1,11,0,1,0,0,0,0,0
